"gameID","platformID","seasonID","Winner","ban1","ban2","ban3","ban4","ban5","ban6","ban7","ban8","ban9","ban10"
4833066767,"KR",13,1,58,81,238,53,-1,84,360,105,80,141
4833051229,"KR",13,0,89,11,84,104,122,141,84,81,238,147
4811683522,"KR",13,0,360,141,104,202,105,53,32,105,122,80
4808740096,"KR",13,1,-1,80,54,105,104,202,157,105,360,32
4808555762,"KR",13,0,105,60,98,89,360,54,67,516,89,25
4803427375,"KR",13,1,54,84,32,105,360,32,-1,89,105,360
4803463141,"KR",13,0,236,360,32,80,78,32,54,-1,105,238
4803095504,"KR",13,1,55,82,238,421,89,54,32,117,238,412
4800728889,"KR",13,0,33,35,84,516,104,141,360,54,82,84
4800771692,"KR",13,1,32,106,80,54,147,32,360,84,105,80
4797375919,"KR",13,0,238,25,82,54,104,54,104,53,360,122
4797203598,"KR",13,1,54,104,360,53,98,238,84,516,25,147
4796979397,"KR",13,0,54,20,121,51,360,54,58,104,360,25
4796935024,"KR",13,1,53,89,83,266,360,157,360,60,89,54
4794386417,"KR",13,0,104,25,517,84,32,89,67,84,33,35
4794313656,"KR",13,1,54,111,141,122,112,84,360,54,89,105
4793123425,"KR",13,0,57,238,350,78,360,147,84,360,105,33
4793086346,"KR",13,1,89,86,11,517,147,11,98,154,517,89
4792933426,"KR",13,1,112,122,360,81,121,164,67,89,157,121
4792867361,"KR",13,1,89,104,56,517,80,360,114,89,141,105
4792792038,"KR",13,0,25,104,157,360,105,238,245,235,84,202
4790408634,"KR",13,0,104,141,89,120,67,104,105,360,80,25
4790414716,"KR",13,1,245,236,104,105,360,51,121,141,54,120
4786362889,"KR",13,1,777,876,25,3,245,82,238,120,360,54
4786340452,"KR",13,0,141,58,157,555,360,254,147,360,104,54
4786207124,"KR",13,1,121,412,147,-1,54,245,67,25,360,84
4784958707,"KR",13,0,517,89,147,-1,7,147,876,80,24,84
4784900760,"KR",13,1,360,84,777,28,122,84,51,517,25,7
4784824576,"KR",13,0,103,157,105,33,80,84,67,114,89,11
4784100760,"KR",13,0,777,360,11,157,57,67,147,360,105,64
4784008533,"KR",13,0,121,238,25,360,67,777,121,142,122,360
4782844936,"KR",13,0,238,89,360,157,245,-1,360,84,147,141
4776255024,"KR",13,1,105,80,7,58,20,516,60,360,412,120
4775809290,"KR",13,0,89,875,105,76,360,25,147,54,238,80
4770311870,"KR",13,1,80,104,25,117,39,104,360,202,105,157
4770215323,"KR",13,0,89,117,236,876,360,25,104,39,360,202
4770086359,"KR",13,1,89,145,360,114,104,412,80,516,235,8
4770017715,"KR",13,0,80,7,106,82,360,777,245,360,157,80
4769888767,"KR",13,0,223,51,82,7,25,104,240,53,245,360
4769930187,"KR",13,0,157,360,25,104,64,89,412,84,60,7
4769635737,"KR",13,1,876,777,24,360,105,57,235,51,104,157
4769561383,"KR",13,1,25,360,84,122,30,104,421,72,57,360
4769426943,"KR",13,0,25,106,104,38,82,360,876,236,157,777
4769317917,"KR",13,0,142,122,238,360,105,84,360,120,68,51
4769364416,"KR",13,0,7,122,111,360,105,238,25,-1,235,76
4752701466,"KR",13,0,76,360,25,80,238,25,105,517,86,104
4752583798,"KR",13,1,104,876,117,84,81,876,81,517,104,412
4752527096,"KR",13,1,60,53,360,39,876,360,876,82,104,202
4752520074,"KR",13,0,203,80,58,25,55,51,86,58,104,50
4752401691,"KR",13,1,777,39,105,25,245,104,876,58,84,-1
4752314712,"KR",13,0,157,240,236,25,76,122,84,360,104,238
4752264756,"KR",13,0,84,876,25,80,122,777,60,69,111,89
4752079088,"KR",13,0,84,122,142,80,517,33,141,8,360,777
4752111611,"KR",13,0,25,360,142,58,-1,238,21,39,103,122
4752007016,"KR",13,0,104,777,3,360,-1,360,67,25,84,122
4752052036,"KR",13,0,777,238,80,104,122,60,111,876,85,76
4751926791,"KR",13,0,86,64,360,7,235,84,235,20,238,360
4737674171,"KR",13,0,876,360,236,-1,25,203,238,84,99,60
4737574593,"KR",13,1,203,25,89,876,145,39,64,67,360,876
4737572829,"KR",13,1,53,67,104,360,876,875,105,360,53,164
4737485491,"KR",13,1,20,60,-1,360,82,-1,360,76,104,876
4737456278,"KR",13,0,25,876,122,105,28,67,876,203,80,60
4737401684,"KR",13,0,157,54,111,84,25,203,164,25,64,360
4737244042,"KR",13,1,360,236,235,266,104,122,876,203,235,360
4737230115,"KR",13,0,104,80,122,56,25,86,28,203,360,876
4737115676,"KR",13,1,117,360,105,133,203,412,122,22,360,517
4723087609,"KR",13,1,236,203,25,89,876,25,104,360,238,777
4723082515,"KR",13,0,235,157,111,38,81,34,360,203,111,157
4722975221,"KR",13,1,8,80,236,203,58,25,360,104,58,238
4722889355,"KR",13,1,74,120,141,238,64,122,53,876,360,203
4722903084,"KR",13,1,203,57,238,80,876,154,876,80,360,117
4722825212,"KR",13,1,203,114,360,107,25,360,875,80,122,157
4722739929,"KR",13,0,117,64,236,360,84,203,114,80,360,84
4722690417,"KR",13,0,238,69,-1,104,80,56,203,235,89,104
4722564176,"KR",13,0,39,360,105,43,84,517,777,25,102,84
4722486780,"KR",13,1,84,80,25,-1,117,238,360,517,777,30
4722512738,"KR",13,1,7,51,777,360,157,157,104,53,122,875
4722459533,"KR",13,1,360,80,89,104,82,51,236,25,28,104
4722387988,"KR",13,1,876,-1,57,91,22,360,84,25,236,104
4705250865,"KR",13,1,68,89,58,360,517,81,122,777,101,39
4704891186,"KR",13,0,84,60,517,64,360,64,92,236,122,360
4704793787,"KR",13,1,89,236,360,245,517,517,122,876,120,58
4704460264,"KR",13,1,105,202,86,99,30,64,517,360,106,89
4704436567,"KR",13,0,120,122,89,105,412,80,84,360,517,104
4704365603,"KR",13,0,360,64,7,74,236,246,235,245,517,238
4589724998,"KR",13,0,876,111,122,131,51,412,238,235,91,133
4589701069,"KR",13,1,53,51,58,64,157,2,105,53,114,111
4589587303,"KR",13,1,238,-1,111,122,60,53,133,238,157,64
4589581929,"KR",13,0,105,86,122,111,39,238,53,777,22,122
4589555386,"KR",13,1,133,80,777,53,154,53,89,51,157,20
4589492622,"KR",13,1,89,24,104,238,53,412,777,-1,51,122
4589408376,"KR",13,0,777,60,2,238,25,60,133,53,89,238
4588668416,"KR",13,1,30,51,60,777,69,60,22,64,53,122
4588733572,"KR",13,1,53,67,64,80,25,245,30,238,51,142
4588568311,"KR",13,0,523,104,55,875,7,122,142,875,517,81
4588602153,"KR",13,0,517,105,39,157,22,25,81,82,777,105
4062906073,"KR",13,0,20,111,235,2,7,84,35,17,523,59
4054314561,"KR",13,0,555,64,58,105,111,245,523,53,8,2
4054204465,"KR",13,1,84,122,111,523,64,13,133,111,555,122
4054066642,"KR",13,1,69,235,25,60,84,131,89,245,53,-1
4054032311,"KR",13,0,157,523,53,2,84,82,235,157,64,236
4053994011,"KR",13,1,64,122,53,-1,51,2,51,91,111,64
4053755081,"KR",13,1,131,58,84,111,51,25,133,131,35,53
4048451783,"KR",13,1,35,53,56,7,111,84,86,157,33,555
4048392391,"KR",13,1,76,523,115,56,91,53,157,35,111,74
4048342623,"KR",13,0,555,7,157,412,53,127,50,-1,235,122
4048287567,"KR",13,0,523,82,421,131,53,35,523,111,105,235
4048236675,"KR",13,1,8,64,235,122,-1,157,131,53,523,245
4046915150,"KR",13,0,122,238,64,119,-1,105,53,107,555,122
4046895070,"KR",13,1,84,25,2,90,-1,122,157,89,38,53
4046951871,"KR",13,0,58,-1,111,53,60,53,7,157,58,33
4046893595,"KR",13,1,238,523,7,240,154,53,114,-1,35,9
4046930753,"KR",13,1,53,91,89,245,8,91,235,122,53,523
4046826570,"KR",13,0,122,25,157,28,245,53,86,133,157,111
4046881704,"KR",13,0,54,67,25,69,51,21,420,36,53,157
4046830112,"KR",13,1,56,523,35,517,89,80,53,236,143,105
4046588369,"KR",13,1,114,56,523,131,53,238,111,84,523,122
4046499562,"KR",13,1,53,240,64,74,523,105,555,82,89,64
4046426545,"KR",13,1,89,69,53,131,2,64,111,56,122,157
